iter	Passed	Remaining
0	1	149
1	2	138
2	3	128
3	5	120
4	6	119
5	7	119
6	8	119
7	10	117
8	11	115
9	12	113
10	13	111
11	15	110
12	16	109
13	17	108
14	18	107
15	20	105
16	21	103
17	22	102
18	23	100
19	24	99
20	26	97
21	27	96
22	28	95
23	29	93
24	30	92
25	32	91
26	33	89
27	34	88
28	35	87
29	36	86
30	38	84
31	39	83
32	40	82
33	41	81
34	43	80
35	44	79
36	45	77
37	47	76
38	48	75
39	49	74
40	50	72
41	51	70
42	52	69
43	53	68
44	54	66
45	55	65
46	57	64
47	58	63
48	59	61
49	60	60
50	62	59
51	63	58
52	64	57
53	65	55
54	66	54
55	67	53
56	69	52
57	70	51
58	72	50
59	73	48
60	74	47
61	76	46
62	77	45
63	78	44
64	79	42
65	81	41
66	82	40
67	84	39
68	85	38
69	86	37
70	88	36
71	89	34
72	90	33
73	91	32
74	92	30
75	94	29
76	95	28
77	97	27
78	98	26
79	99	24
80	100	23
81	102	22
82	103	21
83	104	19
84	105	18
85	107	17
86	108	16
87	110	15
88	111	13
89	112	12
90	114	11
91	115	10
92	116	8
93	117	7
94	119	6
95	120	5
96	121	3
97	122	2
98	124	1
99	125	0
