iter	Passed	Remaining
0	144	144115
1	146	73211
2	148	49477
3	150	37581
4	152	30435
5	155	25704
6	157	22341
7	160	19922
8	163	17965
9	165	16384
10	168	15111
11	170	14039
12	172	13122
13	175	12364
14	178	11711
15	180	11109
16	183	10636
17	186	10174
18	188	9753
19	192	9414
20	194	9064
21	196	8745
22	198	8451
23	201	8201
24	204	7963
25	207	7755
26	209	7550
27	212	7359
28	214	7184
29	216	7014
30	219	6869
31	223	6747
32	225	6607
33	228	6480
34	230	6357
35	232	6238
36	236	6151
37	238	6047
38	241	5943
39	243	5835
40	245	5735
41	247	5645
42	250	5579
43	254	5521
44	256	5439
45	258	5354
46	260	5273
47	262	5197
48	263	5116
49	266	5056
50	267	4982
51	269	4907
52	270	4834
53	271	4762
54	273	4691
55	274	4624
56	275	4557
57	276	4496
58	278	4437
59	280	4387
60	281	4333
61	282	4275
62	283	4221
63	284	4166
64	285	4112
65	286	4060
66	287	4009
67	289	3961
68	290	3914
69	291	3869
70	292	3825
71	293	3782
72	295	3753
73	297	3717
74	298	3678
75	299	3638
76	300	3599
77	301	3562
78	302	3524
79	303	3488
80	304	3454
81	306	3426
82	306	3387
83	307	3356
84	309	3332
85	310	3303
86	311	3273
87	312	3242
88	313	3212
89	314	3183
90	315	3156
91	317	3129
92	318	3104
93	319	3078
94	320	3052
95	321	3026
96	322	3002
97	324	2982
98	326	2967
99	327	2947
100	328	2926
101	330	2906
102	331	2887
103	332	2867
104	333	2845
105	334	2824
106	336	2804
107	337	2787
108	338	2768
109	340	2752
110	341	2734
111	342	2716
112	343	2698
113	344	2679
114	345	2661
115	346	2643
116	347	2624
117	348	2606
118	349	2589
119	350	2572
120	351	2555
121	352	2537
122	354	2525
123	355	2512
124	356	2497
125	357	2482
126	358	2466
127	359	2451
128	360	2436
129	361	2422
130	363	2408
131	364	2395
132	365	2384
133	367	2373
134	368	2359
135	369	2350
136	371	2339
137	372	2326
138	373	2313
139	374	2301
140	375	2289
141	376	2275
142	377	2263
143	378	2251
144	379	2240
145	381	2228
146	382	2216
147	383	2205
148	384	2195
149	385	2184
150	386	2173
151	387	2163
152	388	2152
153	390	2142
154	391	2131
155	392	2121
156	393	2111
157	394	2101
158	395	2091
159	396	2081
160	397	2070
161	398	2060
162	399	2052
163	400	2042
164	401	2033
165	402	2023
166	403	2013
167	404	2004
168	405	1995
169	407	1987
170	408	1978
171	409	1969
172	410	1960
173	411	1952
174	412	1944
175	413	1937
176	415	1931
177	416	1922
178	417	1914
179	418	1906
180	419	1897
181	420	1890
182	421	1881
183	422	1873
184	423	1864
185	424	1856
186	425	1848
187	425	1839
188	426	1831
189	427	1823
190	428	1816
191	430	1809
192	431	1802
193	432	1795
194	433	1787
195	434	1780
196	435	1775
197	436	1770
198	438	1763
199	439	1757
200	440	1751
201	441	1744
202	442	1737
203	443	1730
204	444	1725
205	445	1718
206	446	1711
207	447	1705
208	448	1698
209	449	1691
210	450	1685
211	451	1678
212	452	1672
213	453	1665
214	454	1659
215	455	1652
216	456	1646
217	457	1640
218	458	1634
219	459	1628
220	460	1622
221	461	1617
222	462	1611
223	463	1605
224	464	1599
225	465	1592
226	466	1587
227	466	1580
228	467	1574
229	468	1569
230	469	1563
231	470	1557
232	471	1551
233	472	1546
234	473	1541
235	474	1536
236	475	1531
237	476	1526
238	477	1520
239	478	1515
240	479	1509
241	480	1504
242	481	1499
243	482	1494
244	483	1488
245	483	1483
246	484	1478
247	485	1473
248	486	1467
249	487	1462
250	488	1458
251	490	1454
252	491	1449
253	491	1444
254	492	1439
255	493	1434
256	494	1429
257	495	1424
258	496	1420
259	497	1415
260	498	1411
261	499	1406
262	500	1401
263	501	1397
264	502	1392
265	503	1388
266	504	1385
267	505	1380
268	506	1375
269	507	1371
270	508	1367
271	509	1363
272	510	1358
273	511	1354
274	512	1349
275	513	1346
276	514	1341
277	515	1337
278	515	1333
279	516	1329
280	518	1326
281	519	1323
282	520	1318
283	521	1314
284	522	1310
285	523	1306
286	524	1301
287	524	1297
288	525	1293
289	526	1289
290	527	1286
291	528	1281
292	529	1278
293	530	1274
294	532	1271
295	533	1268
296	534	1265
297	535	1261
298	536	1257
299	537	1253
300	538	1249
301	539	1245
302	540	1242
303	540	1238
304	541	1234
305	542	1231
306	543	1227
307	544	1223
308	545	1219
309	546	1216
310	547	1213
311	548	1209
312	549	1206
313	550	1202
314	551	1199
315	552	1195
316	553	1192
317	554	1189
318	555	1185
319	556	1182
320	557	1178
321	558	1175
322	559	1171
323	560	1168
324	561	1165
325	562	1162
326	563	1159
327	564	1156
328	565	1153
329	566	1149
330	567	1146
331	568	1142
332	568	1139
333	569	1136
334	570	1133
335	571	1129
336	572	1126
337	573	1123
338	574	1120
339	575	1117
340	576	1113
341	577	1111
342	578	1108
343	579	1105
344	580	1102
345	581	1098
346	582	1095
347	583	1092
348	584	1089
349	585	1086
350	585	1083
351	586	1080
352	588	1077
353	588	1074
354	589	1071
355	590	1068
356	591	1066
357	593	1063
358	594	1060
359	594	1057
360	595	1054
361	596	1051
362	597	1049
363	598	1046
364	599	1043
365	600	1040
366	601	1037
367	602	1034
368	603	1031
369	604	1028
370	605	1026
371	606	1023
372	607	1021
373	608	1019
374	609	1016
375	610	1013
376	611	1010
377	612	1008
378	613	1005
379	615	1003
380	615	1000
381	616	997
382	617	995
383	618	992
384	619	990
385	621	987
386	622	985
387	623	983
388	624	980
389	625	977
390	626	975
391	627	972
392	628	970
393	629	968
394	630	966
395	631	963
396	632	960
397	633	958
398	634	955
399	635	953
400	636	951
401	638	949
402	639	946
403	640	944
404	641	941
405	642	939
406	643	936
407	644	934
408	645	932
409	646	929
410	647	927
411	648	924
412	649	922
413	650	920
414	651	917
415	652	915
416	653	913
417	654	911
418	655	908
419	656	906
420	657	904
421	658	902
422	659	899
423	660	897
424	661	895
425	662	892
426	663	890
427	664	888
428	665	886
429	667	884
430	668	882
431	669	879
432	670	877
433	671	875
434	672	873
435	673	871
436	674	869
437	675	866
438	676	864
439	677	862
440	679	860
441	680	859
